name,countryId
LIVE STOCK,2
LOALOAT COMPANY,2
Local grill restaurant to serve meals,2
Loloat Al Seeh Transport Est,2
Love Chemistry Foundation for weddings and events,2
Lulu Luxury Food Company to provide meals,2
LUXIRIOUS TASTE ESTABLISHMENT FOR SERVING MEALS,2
Luxury coffee establishment to serve drinks,2
M/S  Hadi Hammad Al-Hammam Holding co,2
M/S  Advanced Imdad Contracting Est ,2
M/S  Al Amara International Trading &contracting Company,2
M/S  Majid Abdul Majeed Al Faraj General Contracting Est,2
M/S  NEW COLD OASIS GROUP,2
M/S  Rukn Al-Emar Contracting Est,2
M/S  taj aljazirah company saudi arabia,2
M/S al khaleej plastic industries saudi arabia,2
M/S Aljedi restaurant and cafe Kuwait 25th,2
M/S Al-Ojaimi Group( Mohammed Al-Ojaimi Trading contracting company) ,2
M/S AL-WADI LAUNDRY FOR EXQUISITE CLOTHS CARE,2
M/S Arabian Trading And Contracting co. WLLC Doha Qatar 10 Group ,2
M/S Atif Rania Laundry for washing clothes 05th( Rajesh sir project),2
M/S Bait Al Nazeem Massage Center,2
M/S Basmah Trading &contracting co Group 27th,2
m/s Bukhari Restaurant Company for services 15 Group ( Rajesh sir project) ,2
M/S Croffle coffee shop serving 05th( Rajesh sir project) ,2
M/S East Forces Transport Corporation 15th ( Rajesh sir project),2
M/S Electrical and telecom company Saudi Arabia 30th ,2
M/S Fine Dining Restaurant& cousin.,2
M/S Gulf Supplies Corporation for Communications and Information Technology,2
M/S Hala canon Foundation to provide meals 10th,2
M/S HAMOUD AL-SAMAH EST GENERAL CONTRACTING,2
M/S High Altitude Transportation co.,2
M/S Hizam Al Qathani Group /K.S.A ,2
M/S Hubrum Company Ltd. Group 27th,2
M/S ICMS Group - International Construction & Manufacturing Services Group 100,2
M/S Innovative fast food food establishment 05th( Rajesh sir projects) ,2
M/S Jaf Arabia company.,2
M/S Khalaf Al-Afaq Est. For logistics servicesGroup 21th ( Rajesh sir project,2
M/S Lamasat Wardah Trading Est 05th( Rajesh sir project),2
M/S MAhmed Mohamed Farrag General Contracting Establishment 10th,2
M/S Manqad Najd Company for providing meals/K.S.A,2
M/S otno coffee shop saudi arabia,2
M/S Petromin corporation saudi arabia 05th( Rajesh sir project) ,2
M/S Prime innovation company saudi arabia 05th( Rajesh project) ,2
M/S Quila of Rice Restaurant to serve meals 05th( Rajesh sir project) ,2
M/S RAWAIYA AL ETIHAD CONT EST.,2
M/S Saeed Bin Ali Bin Hadi Al-Marri Catering Services Establishment,2
M/S Shomukh Al Ajaz Company Limited Group 40,2
M/S Snjoop Restaurant serving for fast food 05th,2
M/S Unicare Pharmaceutical Industry 10th( Rajesh sir project) ,2
M/S Universal Metal Coating Company( Unicoil) Group 10,2
M/S Work Force Saudi Arabia.( Marriott Hotel ) Group 20th Urgent,2
M/S Al-Andalus Hall Company for celebrations,2
M/S. Maher Abdullah Issa Al-Brahim Mechanics Group,2
Madar Al Idea Trading Company,2
MADHISH CLEANEST CAR(AL-MARRI TRADING GROUP),2
mafco industrial and commercia,2
Mahdi bin Abdullah bin Mohammed Jbara Transport Corporation,2
Mahdi Taher bin Muhammad Al-Dakhil Restaurant for serving meals,2
"Maher Abdullah Issa Al-Brahim, mechanics",2
"Maher Abdullah Issa Al-Ibrahim,",2
Maher bin Abdullah bin Issa Al-Ibrahim car maintenance workshop (297977),2
Maher bin Abdullah bin Issa Al-Ibrahim car maintenance workshop (297978),2
MAI OTHAM,2
Maidah Ayda Al Harthi Factory for Plastic Products,2
Main Zam Company for General Contracting,2
Majalat steel Factoty company for Trade and Industry,2
Majd and Wajd Restaurant to serve meals,2
MAJEED ABDULA,2
Majid Abdul Majeed Al Faraj,2
Majid Awad Mohammed Al Otaibi Operation and Maintenance Establishment (298475),2
Majid Awad Mohammed Al Otaibi Operation and Maintenance Establishment (298839),2
